singers
Vishal Mishara
Arjit Singh
Kumar Sanu
A. R. Reihana
Aarti Mukherji
Akriti Kakar
Alisha Chinai
Alka Ajith
Alka Yagnik
Amirbai Karnataki
Amrutha Suresh
Abhirami Suresh
Andrea Jeremiah
Anindita Paul
Anitha Shaiq
Anjali Marathe
Annupamaa
Anupama Deshpande
Anuradha Bhat
Anuradha Paudwal
Anuradha Sriram
Antara Mitra
Anushka Manchanda
Anweshaa
Aparna Balamurali
Arati Ankalikar-Tikekar
Arundhati Holme Chowdhury
Asha Bhosle
Asees Kaur
B. R. Chaya
Banashree Sengupta
Bangalore Latha
Bhagwanti Navani
P. Bhanumathi
Bhaswati Chakraborty
Bhavatharini
Bhitali Das
Bela Shende
Bombay Jayashri
Chaitra Ambadipudi
Chaitra H. G.
Charulatha Mani
Chhaya Ganguly
Chinmayi
Chitra Singh
Dhrasti Patel
Dominique Cerejo
Dhvani Bhanushali
Falguni Pathak
Gayatri Asokan
Geeta Dutt
Geetha Madhuri
Gurlez Akhtar
Harshdeep Kaur
Hard Kaur
Harini
Hema Sardesai
Hemlata
Himani Kapoor
Ila Arun
Iman Chakraborty
Indu Nagaraj
Jagjit Kaur
Jayati Chakraborty
Jasmeen Akhtar
Jasmine Sandlas
Jaspinder Narula
Jency Anthony
Jikki
Jonita Gandhi
Jyotica Tangri
Jyotsna Radhakrishnan
June Banerjee
Kumari Kanchan Dinkerao Mail
Kalpana Raghavendar
Kalpana Patowary
Kanika Kapoor
Kanan Devi
Kavita Krishnamurthy
Kavita Seth
K. B. Sundarambal
K. Jamuna Rani
Lata Mangeshkar
L. R. Eswari
Madhushree
Mahalakshmi Iyer
Mahathi
Maitrayee Patar
Malavika
Malgudi Subha
Malvina
Mamta Sharma
Manjari
Megha
Minmini
Monali Thakur
Mridula Warrier
Mubarak Begum
Nanditha
Neeti Mohan
Neha Kakkar
Nihira Joshi
Nikhita Gandhi
Nilanjana Sarkar
Nimrat Khaira
Nithyasree Mahadevan
Najim Arshad
P. Leela
P. Madhuri
P. Susheela
Palak Muchhal
Pop Shalini (Shalini Singh)
Prashanthini
Priya Himesh
Priyadarshini
Queen Hazarika
Rajkumari Dubey
Rakshita Suresh
Ramakrishna V.
Ranina Reddy
Ranjini Jose
Rao Balasaraswathi Devi
Reena Bhardwaj
Rekha Bhardwaj
Richa Sharma
Rimi Tomy
Roopa Revathi
Ruma Guha Thakurta
S. Janaki
S. P. Sailaja
Sadhana Sargam
Sagarika Mukherjee
Salma Agha
Samantha Edwards
Sanchita Bhattacharya
Sandhya Mukhopadhyay
Sanjeevani
Sanjeevani Bhelande
Santha P. Nair
Saindhavi
Sapna Mukherjee
Shakthisree Gopalan
Shalmali Kholgade
Shamshad Begum
Sharda Rajan Iyengar
Shashaa Tirupati
Shazneen Arethna
Shilpa Rao
Sharda Sinha
Shibani Kashyap
Shreya Ghoshal
Shruti Pathak
Shubha Mudgal
Shweta Mohan
Shweta Pandit
Shweta Shetty
Shirley Setia
Simiran Kaur Dhadli
Sivaangi Krishnakumar
Smita
Sravana Bhargavi
Sithara
Sona Mohapatra
Sonu Kakkar
Somlata Acharyya Chowdhury
Sowmya Raoh
Srilekha Parthasarathy
Sudha Malhotra
Sujatha
Sulakshana Pandit
Suman Kalyanpur
Sunitha Sarathy
Sunitha Upadrashta
Surmukhi Raman
Sushma Shrestha
Sunanda Sharma
Sunidhi Chauhan
Suvi Suresh
"Suzanne DMello"
Swarnalatha
Tanvi Shah
Tarali Sarma
Tulsi Kumar
Usha
Usha Khanna
Usha Mangeshkar
Usha Uthup
Uthara Unnikrishnan
Vaikom Vijayalakshmi
Vaishali Samant
Vandana Srinivasan
Vani Jayaram
Vasundhara Das
Yohani De Silva
P. Madhuri
P. Susheela
Palak Muchhal
Prashanthini
Priya Himesh
Priyadarshini
Queen Hazarika
Rajkumari Dubey
Rakshita Suresh
Ramakrishna V.
Ranina Reddy
Ranjini Jose
Rao Balasaraswathi Devi
Reena Bhardwaj
Rekha Bhardwaj
Richa Sharma
Rimi Tomy
Roopa Revathi
Ruma Guha Thakurta
S. Janaki
S. P. Sailaja
Sadhana Sargam
Sagarika Mukherjee
Salma Agha
Samantha Edwards
Sanchita Bhattacharya
Sandhya Mukhopadhyay
Sanjeevani
Santha P. Nair
Saindhavi
Sapna Mukherjee
Shakthisree Gopalan
Shalmali Kholgade
Shamshad Begum
Sharda Rajan Iyengar
Shashaa Tirupati
Shazneen Arethna
Shilpa Rao
Sharda Sinha
Shibani Kashyap
Shreya Ghoshal
Shruti Pathak
Shubha Mudgal
Shweta Mohan
Shweta Pandit
Shweta Shetty
Shirley Setia
Simiran Kaur Dhadli
Sivaangi Krishnakumar
Smita
Sravana Bhargavi
Sithara
Sona Mohapatra
Sonu Kakkar
Somlata Acharyya Chowdhury
Sowmya Raoh
Srilekha Parthasarathy
Sudha Malhotra
Sujatha
Sulakshana Pandit
Suman Kalyanpur
Sunitha Sarathy
Sunitha Upadrashta
Surmukhi Raman
Sushma Shrestha
Sunanda Sharma
Sunidhi Chauhan
Suvi Suresh
"Suzanne D Mello"
Swarnalatha
Tanvi Shah
Tarali Sarma
Tulsi Kumar
Usha
Usha Khanna
Usha Mangeshkar
Usha Uthup
Uthara Unnikrishnan
Vaikom Vijayalakshmi
Vaishali Samant
Vandana Srinivasan
Vani Jayaram
Vasundhara Das
Yohani De Silva
