Singer Name,Song Name 1,Song Name 2,Song Name 3,Song Name 4,Song Name 5,Song Name 6,Song Name 7,Song Name 8,Song Name 9,Song Name 10
Vishal Mishra,"1.Kaise Hua (From ""Kabir Singh"")",2.Manjha,3.Pehla Pyaar,4.Zihaal e Miskin,"5.Naacho Naacho (From ""Rrr"")","6.Naseeb Se (From ""Satyaprem Ki Katha"")","7.Naacho Naacho (From ""Rrr"")",8.Aaj Bhi,"9.Nai Lagda (From ""Notebook"")","10.Soniye Je (From ""Gumraah"")"
Arijit Singh,1.Kesariya,"2.Phir Aur Kya Chahiye (From ""Zara Hatke Zara Bachke"")","3.O Bedardeya (From ""Tu Jhoothi Main Makkaar"")",4.Tere Pyaar Mein,"5.Agar Tum Saath Ho (From ""Tamasha"")",6.Jhoome Jo Pathaan,"7.Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")","8.Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","9.Tere Hawaale (From ""Laal Singh Chaddha"")",10.Shayad
Kumar Sanu,"1.Chura Ke Dil Mera (From ""Main Khiladi Tu Anari"")",2.Tumsa Koi Pyaara,3.Ae Kash Ke Hum,"4.Sochenge Tumhe Pyar (From ""Deewana"")","5.Ek Din Aap (From ""Yes Boss"")",6.Ladki Badi Anjani Hai,7.Tujhe Dekha To,"8.Dheere Dheere Se Meri Zindagi Mein Aana (From ""Aashiqui"")","9.Mera Dil Bhi Kitna Pagal Hai (From ""Saajan"")","10.Aankh Marey (From ""Simmba"")"
A. R. Reihana,1.Ponni Nadhi,"2.Saarattu Vandiyila (From ""Kaatru Veliyidai"")","3.Ponge Nadhi [From ""PS-1 (Telugu)""]",4.Kedakkari,5.Ya Nabi Salam Alaika,6.Karma Veeran,7.Morethukochindhi,8.Ponni Nadhi,9.Hey Magic Maname Title Track,10.Ponni Nadhi [From “PS-1 (Malayalam)”]
Aarti Mukherji,1.Do Naina Aur Ek Kahani,2.Shyam Teri Bansi Pukare,3.Takhon Tomar Ekush Bachhar,4.Ek Baishakhe Dekha Holo Dujanay,5.Ei Mom Jochhonay Ango Bhijiye Eso Na,6.Aji Thahro Zara Dekho,7.Aaj Ki Raat Charangon,8.Katha Kichhu Kichhu Bujhe Nite Hoy,9.Main Wohi Darpan Wohi,10.Laje Ranga Holo Kone Bou Go
Akriti Kakar,1.Khudaya Khair,2.Saturday Saturday,3.Iski Uski,4.Kehdoon Tumhe - The Unwind Mix,5.Wada Karo - The Unwind Mix,6.Dekhoon Tujhe To Pyaar Aaye,7.Tu Junooniyat (Climax Song),8.Ore Manwa Re,9.Insha Allah,10.Abhi Na Jao Chhod Kaar Unplugged - Female
Alisha Chinai,1.Tera Hone Laga Hoon,"2.Ilahi (From ""Yeh Jawaani Hai Deewani"")","3.Badtameez Dil (From ""Yeh Jawaani Hai Deewani"")","4.Balam Pichkari (From ""Yeh Jawaani Hai Deewani"")",5.Tera Hone Laga Hoon (Lofi Mix),"6.One Two Three Four (Get On The Dance Floor) [From ""Chennai Express""]",7.Kajra Re,"8.Sunny Sunny (From ""Yaariyan"")","9.Ghagra (From ""Yeh Jawaani Hai Deewani"")","10.Party All Night (From ""Boss"")"
Alka Ajith,1.Chillena,2.Chiragengu - Male Version,3.Poovaname,4.Konji Konji,5.Thoondil,"6.Ennoda Chennai (From ""En Chennai Young Chennai Anthem"")",7.Hari Hari Govinda Sri Hari Govinda,8.Rajamannar,9.Pandhanai Nallooriley,10.Poon Thendralai
Alka Yagnik,"1.Agar Tum Saath Ho (From ""Tamasha"")","2.Tip Tip (From ""Sooryavanshi"")","3.Chura Ke Dil Mera (From ""Main Khiladi Tu Anari"")",4.Mitwa,5.Tumsa Koi Pyaara,6.Ae Mere Humsafar,7.Kuch Kuch Hota Hai,"8.Ek Din Aap (From ""Yes Boss"")","9.Tip Tip Barsa Paani (From ""Mohra"")",10.Ladki Badi Anjani Hai
Amirbai Karnataki,1.Gore Gore O Banke Chhore,2.Tasveer Banata Hoon Teri,3.Door Hato Ae Duniyawalo,4.Dheere Dheere Aa Re Badal,5.O Janewale Balamwa,6.Gore Gore O Banke Chhore Trap Mix,7.Mora Nazuk Badan,8.Milke Bichhad Gai Ankhiyan,9.Dheere Dheere Aa Re Badal,10.Gore Gore O Banke Chhore
Amrutha Suresh,1.Alhamdulillah,2.Omanathinkal Kidavo,"3.Kaanaa Chillamel - From ""Eravu""",4.Thirathalam,5.Adugulo Adugunai,6.Gopalaka Paahimam,7.Chaliye Kunjanamo,8.Alaipayuthe Kanna,9.Enna Thavam,10.Veerangana
Anindita Paul,1.Xubhra Bolakai,2.Paar Hoi Jabo Ei Duxomoi,3.Dancing Tonight,4.Eti Aahban,5.Bokul Phoolor Dore,6.Pratigya - Original,7.Chokhe Chokhe,8.Luitor Eepare Majuli,9.Meghe Meghe,10.Ejaak Jonakiye
Annupamaa,1.Signore Signore,2.Mercury Poolu,3.Preminchava,4.Aiyayo,5.Umma Ayya,6.Dinakatha,7.Dhak Dhak Kangal Thudikka,8.Ethukkura Ala,9.Tujhi Majhi Jamali,10.Sunar Sajnwa
Anupama,1.Lagi Aaj Sawan Ki,2.Dil Se Re,3.Nazrein Milaana Nazrein Churaana,4.Uljhi Hai Yeh Kis Jaal Mein Tu - Humko Aajkal Hai Intezaar,5.Gulmuhar Malare,6.Teri Jawani Badi Mast Mast Hai,7.Rahathulla,"8.Santhipoma (From ""Ennakku 20 Unakku 18"")",9.Konjam Nilavu,"10.July Matham (From ""Pudhiya Mugam"")"
