Singer Name,Song Name 1,Song Name 2,Song Name 3,Song Name 4,Song Name 5,Song Name 6,Song Name 7,Song Name 8,Song Name 9,Song Name 10
P. Madhuri,1.Kaylani Kalavani,2.Ambadi Thannilorunni,3.Neela Ponmane,4.Mallikabanan Thante,5.Kasthoori Thailamittu,6.Krishnapaksha Kili,7.Thullikorikudam,8.Ezharaponnana,9.Innanikku Pottukuthan,10.Vaanamennum Veedhiyile
P. Susheela,1.Thenmadurai Vaigai Nadhi,"2.Muthumani Maalai (From ""Chinna Gounder"")",3.Pesa Koodaathu,4.Karpoora Bommai,5.En Kanmani,6.Vatapatra (Happy),7.Andhi Mazhai Megam,8.Rajaavin Paarvai,9.Naan Paartthathille,10.Sree Rastu Shubhamastu
Palak Muchhal,"1.Kaun Tujhe (From ""M.S.Dhoni - The Untold Story"")","2.Chahun Main Ya Naa (From ""Aashiqui 2"")","3.Meri Aashiqui (From ""Aashiqui 2"")",4.Sanam Teri Kasam,5.O Khuda,6.Dhokha Dhadi,7.Valentine's Mashup 2019,8.Tu Hi Hai Aashiqui - Duet,9.Kabhii Tumhhe - Female Version,10.Laapata
Prashanthini,1.Ayyayo,2.Mundhinam,"3.Ennamo Yeadho (From ""KO"")",4.Vizhi Moodi,5.Oy..Oy..,6.Inka Edho,7.Love Pannu (Oru Punnagai Poove),8.Monna Kanipinchavu,9.Lolita,10.Iraivanai Unargira
Priya Hemesh,1.Aval,2.En Jannal Vandha,3.Ringa Ringa,4.Yaaro Yaaro,"5.Neela Vaanam (From ""Manmadan Ambu"")",6.Sehri..Sehari,7.Meow Meow,"8.Aathadi Manasudhan (From ""Kazhugoo"")",9.Evaro Nenevaro,"10.Rama Loves Sita (From ""Vinaya Vidheya Rama"")"
Priyadarshini,1.Kadhal Vandhale,2.Papa Papa,3.Puli,4.Onnaam Class,5.Thaarru Maarru,6.Oye Kalla,7.Rathiri Nerathu (Remix) (From 'Sattapadi Kutram'),8.Vathana Vathana Vadivelan,9.Thangame Thangame,10.Oole Olele
Rakshita Suresh,1.Kutty Pattas,"2.Kaalathukkum Nee Venum - From ""Vendhu Thanindhathu Kaadu""",3.Sol,"4.Sanchariyagu Nee (From ""Love Mocktail 2"")",5.Veera Raja Veera,6.Nee Parichaya,7.Kodi Parakura Kaalam,8.Pattamarangal,9.Kirunage,"10.O Nidhima (From ""Love Mocktail 2"")"
Ranina Reddy,1.Kodana Kodi,2.Malai Mangum Neram,3.Ola Olaala Ala,4.Engeyum Kaadhal,5.Thee Illai,"6.Ek Baar (From ""Vinaya Vidheya Rama"")",7.Aga Naga,8.Mee Intiki Mundhu,"9.Ammadu Let's Do Kummudu (From ""Khaidi No 150"")","10.Mind Block (From ""Sarileru Neekevvaru"")"
Ranjini Jose,1.Dhoore Mamarakombil - Cover Version,2.Mounam Swaramaay - Cover Version,3.Aaraaree Raareeraro Male,4.Dil Dil Salam Salam,5.Mazha Peyyannu,"6.Siyona - From ""Nammal Thammil""",7.Kumbari,8.Vellambal,9.Ezham Baharinte,10.Naiyn Tere
Raavu Balasaraswathi,1.Manasaina Cheli Pilupu,2.Neela Vanna Kanna Vaada,3.Madhiloni Madhura,4.Thaane Maarenaa,5.Singaara Punnagai,6.Andaala Aanandam,7.Intha Telisi Undi,8.Eliyorai Thaazhthi,9.O O Devadas,10.Malligaipoo Jaathi
Richa Sharma,1.Sajdaa,2.Jag Soona Soona Lage,3.Billo Rani,4.Maula Maula,5.Kahin Aag Lage Lag Jaaye,6.Sajdaa - Lofi Flip,7.Lambi Judai,8.Zor Ka Jhatka,9.Dil Teri Deewangi Mein,10.Tauba Tauba
Rimi Tomy,1.Therirangum Mukile - Recreated Version,2.Etho Raathrimazha - Recreated Version,3.Jillam Jillala,4.Karthaave,5.Chingamasam,6.Vascodagama - Duet Version,"7.Konji Konji Chirichal (From ""Avatharam"")",8.Aaro Viral Meetti - Recreated Version,9.Karale Karalinte,10.Puthanilanjikku
S. Janaki,"1.Thendral Vandhu Theendumbothu (From ""Avatharam"")","2.Kaadhal kaditham (From ""Jodi"")","3.Inji Idupazhaga (From ""Devar Magan"")",4.Sundari,5.Yaar Bina Chain Kanha Ray,"6.Aasai Athigam (From ""Marupadiyum"")",7.Malare,8.Nenjinile,9.Kodiyile Malliyapoo,10.Chinna Chinna Vanna Kuyil
S. P. Sailaja,1.Aasaiye Kaathule,2.Kammani,3.Botany,4.Oru Kili Uruguthu,5.Aayiram Malargale,6.Yetho Ninaivugal,7.En Jodi Manja Kuruvi,8.Bothai Eripochu,9.Vannam Konda,10.Jai Chiranjeeva
