Vishal Mishra,1.Zihaal e Miskin,2.Kaise Hua (From "Kabir Singh"),3.Manjha,4.Pehla Pyaar,5.Naseeb Se (From "Satyaprem Ki Katha"),6.Janiye (from the Netflix Film "Chor Nikal Ke Bhaga"),7.Naacho Naacho (From "Rrr"),8.Naacho Naacho (From "Rrr"),9.Aaj Bhi,10.Nai Lagda (From "Notebook")
Arijit Singh,1.Phir Aur Kya Chahiye (From "Zara Hatke Zara Bachke"),2.Kesariya,3.O Bedardeya (From "Tu Jhoothi Main Makkaar"),4.Agar Tum Saath Ho (From "Tamasha"),5.Tere Pyaar Mein,6.Tujhe Kitna Chahne Lage (From "Kabir Singh"),7.Jhoome Jo Pathaan,8.Tum Kya Mile (From "Rocky Aur Rani Kii Prem Kahaani"),9.Pyaar Hota Kayi Baar Hai (From "Tu Jhoothi Main Makkaar"),10.Tere Hawaale (From "Laal Singh Chaddha")
Kumar Sanu,1.Chura Ke Dil Mera (From "Main Khiladi Tu Anari"),2.Ae Kash Ke Hum,3.Tumsa Koi Pyaara,4.Sochenge Tumhe Pyar (From "Deewana"),5.Dheere Dheere Se Meri Zindagi Mein Aana (From "Aashiqui"),6.Ek Din Aap (From "Yes Boss"),7.Ladki Badi Anjani Hai,8.Tujhe Dekha To,9.Mera Dil Bhi Kitna Pagal Hai (From "Saajan"),10.Kitna Haseen Chehra (From "Dilwale")
A. R. Reihana,1.Ponni Nadhi,2.Saarattu Vandiyila (From "Kaatru Veliyidai"),3.Kedakkari,4.Ponge Nadhi [From "PS-1 (Telugu)"],5.Ya Nabi Salam Alaika,6.Karma Veeran,7.Morethukochindhi,8.Ponni Nadhi,9.Hey Magic Maname Title Track,10.Ponni Nadhi [From “PS-1 (Malayalam)”]
Aarti Mukherji,1.Do Naina Aur Ek Kahani,2.Shyam Teri Bansi Pukare,3.Takhon Tomar Ekush Bachhar,4.Ek Baishakhe Dekha Holo Dujanay,5.Ei Mom Jochhonay Ango Bhijiye Eso Na,6.Aaj Ki Raat Charangon,7.Aji Thahro Zara Dekho,8.Main Wohi Darpan Wohi,9.Katha Kichhu Kichhu Bujhe Nite Hoy,10.Laje Ranga Holo Kone Bou Go
Akriti Kakar,1.Khudaya Khair,2.Saturday Saturday,3.Iski Uski,4.Kehdoon Tumhe - The Unwind Mix,5.Wada Karo - The Unwind Mix,6.Dekhoon Tujhe To Pyaar Aaye,7.Tu Junooniyat (Climax Song),8.Ore Manwa Re,9.Insha Allah,10.Abhi Na Jao Chhod Kaar Unplugged - Female
Alisha Chinai,1.Tera Hone Laga Hoon,2.Ilahi (From "Yeh Jawaani Hai Deewani"),3.Badtameez Dil (From "Yeh Jawaani Hai Deewani"),4.Balam Pichkari (From "Yeh Jawaani Hai Deewani"),5.Tera Hone Laga Hoon (Lofi Mix),6.One Two Three Four (Get On The Dance Floor) [From "Chennai Express"],7.Kajra Re,8.Party All Night (From "Boss"),9.Sunny Sunny (From "Yaariyan"),10.Ghagra (From "Yeh Jawaani Hai Deewani")
Alka Ajith,1.Chillena,2.Chiragengu - Male Version,3.Poovaname,4.Ponnuppa Vannilla,5.Konji Konji,6.Thoondil,7.Ennoda Chennai (From "En Chennai Young Chennai Anthem"),8.Rajamannar,9.Pandhanai Nallooriley,10.Hari Hari Govinda Sri Hari Govinda
Alka Yagnik,1.Agar Tum Saath Ho (From "Tamasha"),2.Chura Ke Dil Mera (From "Main Khiladi Tu Anari"),3.Tip Tip (From "Sooryavanshi"),4.Mitwa,5.Tumsa Koi Pyaara,6.Tip Tip Barsa Paani (From "Mohra"),7.Ae Mere Humsafar,8.Kuch Kuch Hota Hai,9.Kisi Disco Mein Jaaye,10.Main Koi Aisa Geet Gaoon
Amirbai Karnataki,1.Gore Gore O Banke Chhore,2.Tasveer Banata Hoon Teri,3.Door Hato Ae Duniyawalo,4.Dheere Dheere Aa Re Badal,5.O Janewale Balamwa,6.Gore Gore O Banke Chhore Trap Mix,7.Milke Bichhad Gai Ankhiyan,8.Dheere Dheere Aa Re Badal,9.Mora Nazuk Badan,10.Gore Gore O Banke Chhore
