,vote_date,resolution_title,vote_summary,vote_record,url_record
0,2007-12-14,Elimination of all forms of intolerance and of discrimination based on religion or belief,"
    Yes: 29 | No: 0 | Abstentions: 18 | Non-Voting: 0 | Total voting membership: 47","
    Y ANGOLA A AZERBAIJAN A BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) Y BOSNIA AND HERZEGOVINA Y BRAZIL A CAMEROON Y CANADA A CHINA Y CUBA A DJIBOUTI A EGYPT Y FRANCE A GABON Y GERMANY Y GHANA Y GUATEMALA Y INDIA A INDONESIA Y ITALY Y JAPAN A JORDAN Y MADAGASCAR A MALAYSIA A MALI Y MAURITIUS Y MEXICO Y NETHERLANDS Y NICARAGUA A NIGERIA A PAKISTAN Y PERU Y PHILIPPINES A QATAR Y REPUBLIC OF KOREA Y ROMANIA Y RUSSIAN FEDERATION A SAUDI ARABIA A SENEGAL Y SLOVENIA A SOUTH AFRICA A SRI LANKA Y SWITZERLAND Y UKRAINE Y UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25492
1,2007-09-28,Preparations for the Durban Review Conference,"
    Yes: 33 | No: 10 | Abstentions: 3 | Non-Voting: 1 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) N BOSNIA AND HERZEGOVINA Y BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT N FRANCE . GABON N GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA N ITALY A JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO N NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y QATAR A REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL N SLOVENIA Y SOUTH AFRICA Y SRI LANKA N SWITZERLAND A UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25477
2,2007-09-28,"From rhetoric to reality : a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance","
    Yes: 28 | No: 13 | Abstentions: 5 | Non-Voting: 1 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) N BOSNIA AND HERZEGOVINA A BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT N FRANCE . GABON N GERMANY Y GHANA A GUATEMALA Y INDIA Y INDONESIA N ITALY N JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS A MEXICO N NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN A PERU Y PHILIPPINES Y QATAR N REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL N SLOVENIA Y SOUTH AFRICA Y SRI LANKA N SWITZERLAND N UKRAINE N UNITED KINGDOM A URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25476
3,2007-09-28,Elaboration of international complementary standards to the International Convention on the Elimination of All Forms of Racial Discrimination,"
    Yes: 32 | No: 10 | Abstentions: 4 | Non-Voting: 1 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) N BOSNIA AND HERZEGOVINA Y BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT N FRANCE . GABON N GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA N ITALY A JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO N NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y QATAR A REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL N SLOVENIA Y SOUTH AFRICA Y SRI LANKA N SWITZERLAND A UKRAINE N UNITED KINGDOM A URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25475
4,2007-09-28,"Religious and cultural rights in the Occupied Palestinian Territory, including East Jerusalem","
    Yes: 31 | No: 1 | Abstentions: 15 | Non-Voting: 0 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) A BOSNIA AND HERZEGOVINA Y BRAZIL A CAMEROON N CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT A FRANCE Y GABON A GERMANY Y GHANA A GUATEMALA Y INDIA Y INDONESIA A ITALY A JAPAN Y JORDAN A MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO A NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y QATAR A REPUBLIC OF KOREA A ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL A SLOVENIA Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND A UKRAINE A UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25473
5,2007-09-28,Human rights and unilateral coercive measures,"
    Yes: 34 | No: 11 | Abstentions: 2 | Non-Voting: 0 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) N BOSNIA AND HERZEGOVINA Y BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT N FRANCE Y GABON N GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA N ITALY N JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO N NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y QATAR A REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL N SLOVENIA Y SOUTH AFRICA Y SRI LANKA N SWITZERLAND A UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25461
6,2007-09-27,Human rights and international solidarity,"
    Yes: 34 | No: 12 | Abstentions: 1 | Non-Voting: 0 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) N BOSNIA AND HERZEGOVINA Y BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT N FRANCE Y GABON N GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA N ITALY N JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO N NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y QATAR N REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL N SLOVENIA Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND N UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25397
7,2007-03-30,Combating defamation of religions,"
    Yes: 24 | No: 14 | Abstentions: 9 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA A ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH A BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA N CZECH REPUBLIC Y DJIBOUTI A ECUADOR N FINLAND N FRANCE Y GABON N GERMANY A GHANA N GUATEMALA A INDIA Y INDONESIA N JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO Y MOROCCO N NETHERLANDS A NIGERIA Y PAKISTAN A PERU Y PHILIPPINES N POLAND N REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA N SWITZERLAND Y TUNISIA N UKRAINE N UNITED KINGDOM A URUGUAY A ZAMBIA",https://searchlibrary.ohchr.org/record/25380
8,2007-03-30,Strengthening of the Office of the United Nations High Commissioner for Human Rights,"
    Yes: 35 | No: 0 | Abstentions: 12 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BRAZIL Y CAMEROON A CANADA Y CHINA Y CUBA A CZECH REPUBLIC Y DJIBOUTI Y ECUADOR A FINLAND A FRANCE Y GABON A GERMANY Y GHANA A GUATEMALA Y INDIA Y INDONESIA Y JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO Y MOROCCO A NETHERLANDS Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES A POLAND Y REPUBLIC OF KOREA A ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND Y TUNISIA A UKRAINE A UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25376
9,2007-03-30,Globalization and its impact on the full enjoyment of all human rights,"
    Yes: 34 | No: 13 | Abstentions: 0 | Non-Voting: 0 | Total voting membership: 47","
    Y ALGERIA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA N CZECH REPUBLIC Y DJIBOUTI Y ECUADOR N FINLAND N FRANCE Y GABON N GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA N JAPAN Y JORDAN Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO Y MOROCCO N NETHERLANDS Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES N POLAND N REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL Y SOUTH AFRICA Y SRI LANKA N SWITZERLAND Y TUNISIA N UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25373
