,vote_date,resolution_title,vote_summary,vote_record,url_record
0,2008-01-24,"Human rights violations emanating from Israeli military attacks and incursions in the Occupied Palestinian Territory, particularly in the occupied Gaza Strip","
    Yes: 30 | No: 1 | Abstentions: 15 | Non-Voting: 1 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) A BOSNIA AND HERZEGOVINA Y BRAZIL A CAMEROON N CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT A FRANCE . GABON A GERMANY A GHANA A GUATEMALA Y INDIA Y INDONESIA A ITALY A JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO A NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y QATAR A REPUBLIC OF KOREA A ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL A SLOVENIA Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND A UKRAINE A UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/26078
1,2008-09-24,Follow-up to resolution S-3/1 : human rights violations emanating from Israeli military incursions in the Occupied Palestinian Territory and the shelling of Beit Hanoun,"
    Yes: 32 | No: 9 | Abstentions: 5 | Non-Voting: 1 | Total voting membership: 47","
    Y ANGOLA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) A BOSNIA AND HERZEGOVINA Y BRAZIL Y BURKINA FASO A CAMEROON N CANADA Y CHILE Y CHINA Y CUBA Y DJIBOUTI Y EGYPT N FRANCE Y GABON N GERMANY Y GHANA Y INDIA Y INDONESIA N ITALY N JAPAN Y JORDAN . MADAGASCAR Y MALAYSIA Y MAURITIUS Y MEXICO N NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PHILIPPINES Y QATAR A REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL N SLOVAKIA N SLOVENIA Y SOUTH AFRICA A SWITZERLAND A UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25833
2,2008-09-24,Human rights and unilateral coercive measures,"
    Yes: 33 | No: 11 | Abstentions: 2 | Non-Voting: 1 | Total voting membership: 47","
    Y ANGOLA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) A BOSNIA AND HERZEGOVINA Y BRAZIL Y BURKINA FASO Y CAMEROON N CANADA Y CHILE Y CHINA Y CUBA Y DJIBOUTI Y EGYPT N FRANCE Y GABON N GERMANY Y GHANA Y INDIA Y INDONESIA N ITALY N JAPAN Y JORDAN . MADAGASCAR Y MALAYSIA Y MAURITIUS Y MEXICO N NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PHILIPPINES Y QATAR A REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL N SLOVAKIA N SLOVENIA Y SOUTH AFRICA N SWITZERLAND N UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25815
3,2008-09-24,Human rights and international solidarity,"
    Yes: 33 | No: 13 | Abstentions: 0 | Non-Voting: 1 | Total voting membership: 47","
    Y ANGOLA Y ARGENTINA Y AZERBAIJAN Y BAHRAIN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) N BOSNIA AND HERZEGOVINA Y BRAZIL Y BURKINA FASO Y CAMEROON N CANADA Y CHILE Y CHINA Y CUBA Y DJIBOUTI Y EGYPT N FRANCE Y GABON N GERMANY Y GHANA Y INDIA Y INDONESIA N ITALY N JAPAN Y JORDAN . MADAGASCAR Y MALAYSIA Y MAURITIUS Y MEXICO N NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PHILIPPINES Y QATAR N REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL N SLOVAKIA N SLOVENIA Y SOUTH AFRICA N SWITZERLAND N UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25811
4,2008-06-18,Promotion on the right of peoples to peace,"
    Yes: 32 | No: 13 | Abstentions: 2 | Non-Voting: 0 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) N BOSNIA AND HERZEGOVINA Y BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT N FRANCE Y GABON N GERMANY Y GHANA Y GUATEMALA A INDIA Y INDONESIA N ITALY N JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS A MEXICO N NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y QATAR N REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL N SLOVENIA Y SOUTH AFRICA Y SRI LANKA N SWITZERLAND N UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25546
5,2008-06-18,Promotion of a democratic and equitable international order,"
    RECORDED","
    18 June 2008",https://searchlibrary.ohchr.org/record/25542
6,2008-03-28,Mandate of the Special Rapporteur on the promotion and protection of the right to freedom of opinion and expression,"
    Yes: 32 | No: 0 | Abstentions: 15 | Non-Voting: 0 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) A BOSNIA AND HERZEGOVINA Y BRAZIL Y CAMEROON A CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT A FRANCE Y GABON A GERMANY Y GHANA A GUATEMALA Y INDIA Y INDONESIA A ITALY A JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO A NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU A PHILIPPINES Y QATAR A REPUBLIC OF KOREA A ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL A SLOVENIA Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND A UKRAINE A UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25537
7,2008-03-28,"From rhetoric to reality : a global call for concrete action against racism, racial discrimination, xenophobia and related intolerance","
    Yes: 34 | No: 0 | Abstentions: 13 | Non-Voting: 0 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) A BOSNIA AND HERZEGOVINA Y BRAZIL Y CAMEROON A CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT A FRANCE Y GABON A GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA A ITALY A JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO A NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y QATAR A REPUBLIC OF KOREA A ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL A SLOVENIA Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND A UKRAINE A UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25534
8,2008-03-28,Human rights in the occupied Syrian Golan,"
    Yes: 32 | No: 1 | Abstentions: 14 | Non-Voting: 0 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN Y BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) A BOSNIA AND HERZEGOVINA Y BRAZIL A CAMEROON N CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT A FRANCE Y GABON A GERMANY Y GHANA A GUATEMALA Y INDIA Y INDONESIA A ITALY A JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO A NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y QATAR A REPUBLIC OF KOREA A ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL A SLOVENIA Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND A UKRAINE A UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25531
9,2008-03-28,Mandate of the Working Group on the use of mercenaries as a means of violating human rights and impeding the exercise of the right of peoples to self-determination,"
    Yes: 32 | No: 11 | Abstentions: 2 | Non-Voting: 2 | Total voting membership: 47","
    Y ANGOLA Y AZERBAIJAN . BANGLADESH Y BOLIVIA (PLURINATIONAL STATE OF) N BOSNIA AND HERZEGOVINA Y BRAZIL Y CAMEROON N CANADA Y CHINA Y CUBA Y DJIBOUTI Y EGYPT N FRANCE . GABON N GERMANY Y GHANA Y GUATEMALA Y INDIA Y INDONESIA N ITALY N JAPAN Y JORDAN Y MADAGASCAR Y MALAYSIA Y MALI Y MAURITIUS Y MEXICO N NETHERLANDS Y NICARAGUA Y NIGERIA Y PAKISTAN Y PERU Y PHILIPPINES Y QATAR N REPUBLIC OF KOREA N ROMANIA Y RUSSIAN FEDERATION Y SAUDI ARABIA Y SENEGAL N SLOVENIA Y SOUTH AFRICA Y SRI LANKA A SWITZERLAND A UKRAINE N UNITED KINGDOM Y URUGUAY Y ZAMBIA",https://searchlibrary.ohchr.org/record/25522
