,Unnamed: 0,vote_date,resolution_title,vote_summary,vote_record,url_record
0,0,2022-07-07,Mandate of Independent Expert on protection against violence and discrimination based on sexual orientation and gender identity,"
    Yes: 23 | No: 17 | Abstentions: 7 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA A ARMENIA A BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL N CAMEROON N CHINA N COTE D'IVOIRE Y CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE N GABON N GAMBIA Y GERMANY Y HONDURAS A INDIA N INDONESIA Y JAPAN A KAZAKHSTAN N LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG N MALAWI N MALAYSIA Y MARSHALL ISLANDS N MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA Y NEPAL Y NETHERLANDS N PAKISTAN Y PARAGUAY A POLAND N QATAR Y REPUBLIC OF KOREA N SENEGAL N SOMALIA N SUDAN Y UKRAINE N UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30250
1,1,2022-07-07,Human rights and international solidarity,"
    Yes: 31 | No: 15 | Abstentions: 1 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL Y CAMEROON Y CHINA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GERMANY Y HONDURAS Y INDIA Y INDONESIA N JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA N MARSHALL ISLANDS Y MAURITANIA A MEXICO N MONTENEGRO Y NAMIBIA Y NEPAL N NETHERLANDS Y PAKISTAN Y PARAGUAY N POLAND Y QATAR N REPUBLIC OF KOREA Y SENEGAL Y SOMALIA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30249
2,2,2022-07-07,Enhancement of international cooperation in the field of human rights,"
    Yes: 29 | No: 16 | Abstentions: 2 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA N ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL Y CAMEROON Y CHINA Y COTE D'IVOIRE Y CUBA N CZECH REPUBLIC Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GERMANY Y HONDURAS Y INDIA Y INDONESIA N JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC N LITHUANIA N LUXEMBOURG Y MALAWI Y MALAYSIA N MARSHALL ISLANDS Y MAURITANIA A MEXICO N MONTENEGRO Y NAMIBIA Y NEPAL N NETHERLANDS Y PAKISTAN Y PARAGUAY N POLAND Y QATAR N REPUBLIC OF KOREA Y SENEGAL Y SOMALIA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30248
3,3,2022-07-08,Situation of human rights in Belarus,"
    Yes: 23 | No: 6 | Abstentions: 18 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA A ARMENIA Y BENIN N BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL A CAMEROON N CHINA A COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON Y GAMBIA Y GERMANY Y HONDURAS A INDIA A INDONESIA Y JAPAN N KAZAKHSTAN A LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA Y MARSHALL ISLANDS A MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS A PAKISTAN Y PARAGUAY Y POLAND A QATAR Y REPUBLIC OF KOREA A SENEGAL A SOMALIA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30247
4,4,2022-07-08,Situation of human rights in the Syrian Arab Republic,"
    Yes: 25 | No: 6 | Abstentions: 15 | Non-Voting: 0 | Total voting membership: 46","
    Y ARGENTINA N ARMENIA Y BENIN N BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL A CAMEROON N CHINA Y COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA Y GERMANY Y HONDURAS A INDIA A INDONESIA Y JAPAN A KAZAKHSTAN Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA Y MARSHALL ISLANDS A MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS A PAKISTAN Y PARAGUAY Y POLAND Y QATAR Y REPUBLIC OF KOREA A SENEGAL A SOMALIA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30246
5,5,2022-07-07,Situation of human rights in Eritrea,"
    Yes: 29 | No: 10 | Abstentions: 16 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA A BENIN N BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL A CAMEROON N CHINA A COTE D'IVOIRE N CUBA Y CZECH REPUBLIC N ERITREA Y FINLAND Y FRANCE A GABON A GAMBIA Y GERMANY Y HONDURAS N INDIA A INDONESIA Y JAPAN A KAZAKHSTAN A LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG A MALAWI A MALAYSIA Y MARSHALL ISLANDS A MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS N PAKISTAN Y PARAGUAY Y POLAND A QATAR Y REPUBLIC OF KOREA A SENEGAL N SOMALIA N SUDAN Y UKRAINE N UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30245
6,6,2022-04-01,Cooperation with Georgia,"
    Yes: 19 | No: 6 | Abstentions: 20 | Non-Voting: 2 | Total voting membership: 47","
    A ARGENTINA . ARMENIA A BENIN N BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL A CAMEROON N CHINA A COTE D'IVOIRE N CUBA N ERITREA Y FINLAND Y FRANCE A GABON Y GAMBIA Y GERMANY Y HONDURAS A INDIA A INDONESIA Y JAPAN A KAZAKHSTAN Y LIBYAN ARAB REPUBLIC Y LITHUANIA Y LUXEMBOURG Y MALAWI A MALAYSIA . MARSHALL ISLANDS A MAURITANIA Y MEXICO Y MONTENEGRO A NAMIBIA A NEPAL Y NETHERLANDS A PAKISTAN Y PARAGUAY Y POLAND A QATAR A REPUBLIC OF KOREA N RUSSIAN FEDERATION A SENEGAL Y SOMALIA A SUDAN Y UKRAINE A UNITED ARAB EMIRATES Y UNITED KINGDOM Y UNITED STATES A UZBEKISTAN N VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30060
7,7,2022-04-01,Human rights in the occupied Syrian Golan,"
    Yes: 29 | No: 15 | Abstentions: 3 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL A CAMEROON Y CHINA Y COTE D'IVOIRE Y CUBA Y ERITREA N FINLAND N FRANCE Y GABON Y GAMBIA N GERMANY A HONDURAS Y INDIA Y INDONESIA N JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC N LITHUANIA N LUXEMBOURG N MALAWI Y MALAYSIA N MARSHALL ISLANDS Y MAURITANIA Y MEXICO N MONTENEGRO Y NAMIBIA Y NEPAL N NETHERLANDS Y PAKISTAN Y PARAGUAY N POLAND Y QATAR N REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SENEGAL Y SOMALIA Y SUDAN N UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30059
8,8,2022-04-01,"Israeli settlements in the Occupied Palestinian Territory, including East Jerusalem, and in the occupied Syrian Golan","
    Yes: 38 | No: 4 | Abstentions: 5 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) A BRAZIL A CAMEROON Y CHINA Y COTE D'IVOIRE Y CUBA Y ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA Y GERMANY A HONDURAS Y INDIA Y INDONESIA Y JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC A LITHUANIA Y LUXEMBOURG N MALAWI Y MALAYSIA N MARSHALL ISLANDS Y MAURITANIA Y MEXICO Y MONTENEGRO Y NAMIBIA Y NEPAL Y NETHERLANDS Y PAKISTAN Y PARAGUAY Y POLAND Y QATAR Y REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SENEGAL Y SOMALIA Y SUDAN A UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30058
9,9,2022-04-01,Right of the Palestinian people to self-determination,"
    Yes: 41 | No: 3 | Abstentions: 3 | Non-Voting: 0 | Total voting membership: 47","
    Y ARGENTINA Y ARMENIA Y BENIN Y BOLIVIA (PLURINATIONAL STATE OF) Y BRAZIL A CAMEROON Y CHINA Y COTE D'IVOIRE Y CUBA Y ERITREA Y FINLAND Y FRANCE Y GABON Y GAMBIA Y GERMANY A HONDURAS Y INDIA Y INDONESIA Y JAPAN Y KAZAKHSTAN Y LIBYAN ARAB REPUBLIC A LITHUANIA Y LUXEMBOURG Y MALAWI Y MALAYSIA N MARSHALL ISLANDS Y MAURITANIA Y MEXICO Y MONTENEGRO Y NAMIBIA Y NEPAL Y NETHERLANDS Y PAKISTAN Y PARAGUAY Y POLAND Y QATAR Y REPUBLIC OF KOREA Y RUSSIAN FEDERATION Y SENEGAL Y SOMALIA Y SUDAN Y UKRAINE Y UNITED ARAB EMIRATES N UNITED KINGDOM N UNITED STATES Y UZBEKISTAN Y VENEZUELA (BOLIVARIAN REPUBLIC OF)",https://searchlibrary.ohchr.org/record/30057
