Continent,Location,Country,Latitude,Longitude,Year Established
North America,"Ashburn, Virginia",United States,39.0215,-77.4579,-
North America,Northern Virginia (Multiple locations),United States,-,-,-
North America,"Boardman, Oregon",United States,45.8696,-119.688,-
North America,"Dublin, Ohio",United States,40.1386,-83.0901,-
North America,"Montreal, Quebec",Canada,45.504,-73.5747,-
Europe,Frankfurt,Germany,50.1109,8.6821,-
Europe,Dublin,Ireland,53.3438,-6.2712,-
Europe,London,United Kingdom,51.5074,-0.1278,-
Asia,Mumbai,India,19.076,72.8777,-
Asia,Seoul,South Korea,37.5665,126.978,-
Asia,Singapore,Singapore,1.3521,103.8198,-
Asia,Tokyo,Japan,35.6825,139.7545,-
South America,São Paulo,Brazil,-23.5505,-46.6333,-
Australia,Sydney,Australia,-33.8688,151.2093,-
