Continent,Location,Country,Latitude,Longitude,Year Established
North America,"Ashburn, Virginia",United States,39.0215,-77.4579,-
North America,"Chicago, Illinois",United States,41.8781,-87.6298,-
North America,"Dallas, Texas",United States,32.7767,-96.797,-
North America,"Los Angeles, California",United States,34.0522,-118.2437,-
North America,"New York City, New York",United States,40.7128,-74.006,-
North America,"Seattle, Washington",United States,47.6062,-122.3321,-
North America,"Toronto, Ontario",Canada,43.651,-79.347,-
Europe,Amsterdam,Netherlands,52.3667,4.8945,-
Europe,London,United Kingdom,51.5074,-0.1278,-
Europe,Frankfurt,Germany,50.1109,8.6821,-
Europe,Paris,France,48.8566,2.3522,-
Asia,Tokyo,Japan,35.6825,139.7545,-
Asia,Singapore,Singapore,1.3521,103.8198,-
Asia,Sydney,Australia,-33.8688,151.2093,-
