Continent,Location,Country,Latitude,Longitude,Year Established
North America,"The Dalles, Oregon",United States,45.5946,-121.1787,2006
North America,"Council Bluffs, Iowa",United States,41.2628,-95.8608,2009
North America,"Lenoir, North Carolina",United States,35.758,-81.5505,2007
North America,"Berkeley County, South Carolina",United States,33.1239,-80.0373,2008
North America,Changhua County,Taiwan,24.0494,120.5164,2013
North America,The Quilicura Metropolitan Area,Chile,-33.3096,-70.8503,2015
Europe,St. Ghislain,Belgium,50.4691,3.8183,2009
Europe,Hamina,Finland,60.5693,27.209,2011
Europe,Dublin,Ireland,53.427,-6.2448,2012
Europe,Eemshaven,Netherlands,53.4373,6.8637,2016
Asia,Changhua County,Taiwan,24.0494,120.5164,2013
Asia,Singapore,Singapore,1.3667,103.8,2013
