Continent,Location,Country,Latitude,Longitude,Year Established
North America,"Altoona, Iowa",United States,41.6392,-93.4758,2014
North America,"Prineville, Oregon",United States,44.1094,-120.5908,2011
North America,"Forest City, North Carolina",United States,35.3343,-81.8656,2011
North America,"Fort Worth, Texas",United States,32.7357,-97.4344,2017
North America,"Los Lunas, New Mexico",United States,34.743,-106.7334,2019
Europe,"Clonee, County Meath",Ireland,53.4808,-6.5011,2018
Europe,Odense,Denmark,55.4077,10.3898,2020
Europe,Luleå,Sweden,65.5848,22.1567,2013
Asia,Changhua County,Taiwan,24.0494,120.5164,2016
Asia,Singapore,Singapore,1.3584,103.8894,2015
Asia,"Papillion, Nebraska",United States,41.1544,-96.0419,2020
North America,"Henrico County, Virginia",United States,37.5129,-77.32,2020
