Continent,Location,Country,Latitude,Longitude,Year Established
North America,"Boydton, Virginia",United States,36.6534,-78.3717,2010
North America,"Des Moines, Iowa",United States,41.6342,-93.6443,2015
North America,"Quincy, Washington",United States,47.3769,-119.6389,2007
North America,"San Antonio, Texas",United States,29.4997,-98.3992,2008
North America,"Cheyenne, Wyoming",United States,41.14,-104.8202,2013
North America,"Chicago, Illinois",United States,41.8819,-87.6278,2015
Europe,Dublin,Ireland,53.3478,-6.2597,2009
Europe,Middenmeer,Netherlands,52.87,5.015,2019
Europe,Grange Castle,Ireland,53.3481,-6.4391,2012
Asia,Singapore,Singapore,1.3343,103.9844,2015
Asia,Chennai,India,12.8508,80.2327,2015
Asia,Mumbai,India,18.9533,72.8225,2015
Asia,Hong Kong,Hong Kong,22.3193,114.1694,2014
