Continent,Location,Country,Latitude,Longitude,Year Established
North America,"Ashburn, Virginia",United States,39.0215,-77.4579,-
North America,"Phoenix, Arizona",United States,33.4484,-112.074,-
North America,"Toronto, Ontario",Canada,43.651,-79.347,-
Europe,Frankfurt,Germany,50.1109,8.6821,-
Europe,London,United Kingdom,51.5074,-0.1278,-
Asia,Mumbai,India,19.076,72.8777,-
Asia,Tokyo,Japan,35.6825,139.7545,-
Asia,Seoul,South Korea,37.5665,126.978,-
Asia,Singapore,Singapore,1.3521,103.8198,-
Asia,Sydney,Australia,-33.8688,151.2093,-
